first_seen,EMITENT_ID,EMITENT_TITLE
2026-02-21,2409,"Акционерное общество по строительству, ремонту и содержанию автомобильных дорог и инженерных сооружений ""Новосибирскавтодор"""
2026-02-21,3815,"Акционерный коммерческий банк ""ПЕРЕСВЕТ"" (Публичное акционерное общество)"
2026-02-21,269,Банк ВТБ (публичное акционерное общество)
2026-02-21,6335,ВТБ Лизинг (акционерное общество)
2026-02-21,4708,"Государственная компания ""Российские автомобильные дороги"""
2026-02-21,10258,"Государственное унитарное предприятие ""Жилищно-коммунальное хозяйство Республики Саха (Якутия)"""
2026-02-21,536,Государственный специализированный Российский экспортно-импортный банк (акционерное общество)
2026-02-21,645,Департамент финансов Томской области
2026-02-21,1861,Департамент финансов Ханты-Мансийского автономного округа – Югры
2026-02-21,3845,Евразийский банк развития
2026-02-21,8062,"Закрытое акционерное общество ""Ипотечный агент АИЖК 2014-2"""
2026-02-21,8904,"Закрытое акционерное общество ""КРАУС-М"""
2026-02-21,1468,Комитет финансов Санкт-Петербурга
2026-02-21,17080,"Международная компания акционерное общество ""Воксис"""
2026-02-21,12713,"Международная компания акционерное общество ""Совко Капитал Партнерс"""
2026-02-21,12712,"Международная компания общество с ограниченной ответственностью ""Содружество Рус"""
2026-02-21,7972,"Международная компания публичное акционерное общество ""Объединённая Компания ""РУСАЛ"""""
2026-02-21,15523,"Международная компания публичное акционерное общество ""ЯНДЕКС"""
2026-02-21,3848,Международный Банк Экономического Сотрудничества
2026-02-21,10716,"Микрофинансовая компания ""Быстроденьги"" (Общество с ограниченной ответственностью)"
2026-02-21,12337,"Микрофинансовая компания ""Лайм-Займ"" (Общество с ограниченной ответственностью)"
2026-02-21,15931,Министерство финансов Амурской области
2026-02-21,9298,Министерство финансов Калининградской области
2026-02-21,882,Министерство финансов Краснодарского края
2026-02-21,642,Министерство финансов Нижегородской области
2026-02-21,7003,Министерство финансов Оренбургской области
2026-02-21,11284,Министерство финансов Республики Башкортостан
2026-02-21,846,Министерство финансов Республики Саха (Якутия)
2026-02-21,1228,Министерство финансов Российской Федерации
2026-02-21,709,Министерство финансов Самарской области
2026-02-21,4737,Министерство финансов Свердловской области
2026-02-21,5938,Министерство финансов Ставропольского края
2026-02-21,9632,Министерство финансов Ульяновской области
2026-02-21,11263,Министерство финансов Челябинской области
2026-02-21,6247,Министерство финансов и налоговой политики Новосибирской области
2026-02-21,9067,Министерство экономики и финансов Московской области
2026-02-21,643,Мэрия города Новосибирска
2026-02-21,14992,"НЕПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФИНАНСОВЫЕ СИСТЕМЫ"""
2026-02-21,3814,"Непубличное акционерное общество Профессиональная коллекторская организация ""Первое клиентское бюро"""
2026-02-21,11464,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД АЛЮМИНИЕВЫХ СИСТЕМ КОРПСАН"""
2026-02-21,11372,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""СМАК"""
2026-02-21,15658,"Общество С Ограниченной Ответственностью ""Кеарли Групп"""
2026-02-21,14886,"Общество с ограниченной Ответственностью ""Частная пивоварня ""Афанасий"""
2026-02-21,9680,"Общество с ограниченной ответственностью  ""Атомстройкомплекс-Строительство"""
2026-02-21,16073,"Общество с ограниченной ответственностью  ""ДЕВАР ПЕТРО"""
2026-02-21,15217,"Общество с ограниченной ответственностью  ""Микрофинансовая компания ""Т-Финанс"""
2026-02-21,14964,"Общество с ограниченной ответственностью  ""ОСТРОВ МАШИН"""
2026-02-21,15533,"Общество с ограниченной ответственностью ""А Спэйс"""
2026-02-21,15440,"Общество с ограниченной ответственностью ""А101"""
2026-02-21,13023,"Общество с ограниченной ответственностью ""АЛЬФА ДОН ТРАНС"""
2026-02-21,12725,"Общество с ограниченной ответственностью ""АНТЕРРА"""
2026-02-21,9327,"Общество с ограниченной ответственностью ""АРАГОН"""
2026-02-21,12154,"Общество с ограниченной ответственностью ""АРЕНЗА-ПРО"""
2026-02-21,17269,"Общество с ограниченной ответственностью ""АСГ ТРАНСФОРМАТОРЕН"""
2026-02-21,12588,"Общество с ограниченной ответственностью ""АСПЭК-Домстрой"""
2026-02-21,15888,"Общество с ограниченной ответственностью ""АвтоМоё Опт"""
2026-02-21,10383,"Общество с ограниченной ответственностью ""Агро Зерно Юг"""
2026-02-21,11881,"Общество с ограниченной ответственностью ""Агро-Фрегат"""
2026-02-21,11785,"Общество с ограниченной ответственностью ""АгроДом"""
2026-02-21,12119,"Общество с ограниченной ответственностью ""Агротек"""
2026-02-21,10569,"Общество с ограниченной ответственностью ""Агрофирма ""Рубеж"""
2026-02-21,16875,"Общество с ограниченной ответственностью ""Айдеко"""
2026-02-21,12345,"Общество с ограниченной ответственностью ""Аквилон-Лизинг"""
2026-02-21,15628,"Общество с ограниченной ответственностью ""Алтимейт Эдьюкейшн"""
2026-02-21,11388,"Общество с ограниченной ответственностью ""Альфа-Лизинг"""
2026-02-21,16504,"Общество с ограниченной ответственностью ""Арктик Технолоджи Сервис"""
2026-02-21,14152,"Общество с ограниченной ответственностью ""Арлифт Интернешнл"""
2026-02-21,16368,"Общество с ограниченной ответственностью ""БН-Телеком"""
2026-02-21,10211,"Общество с ограниченной ответственностью ""БЭЛТИ-ГРАНД"""
2026-02-21,13534,"Общество с ограниченной ответственностью ""Байсэл"""
2026-02-21,15941,"Общество с ограниченной ответственностью ""Баррель"""
2026-02-21,15813,"Общество с ограниченной ответственностью ""Бианка Премиум"""
